candidate	count	files	forms	first_source
trend	4	1	"{""trends"": 1, ""trend"": 3}"	docs/en/ch19.md:3
hypothesis	4	1	"{""hypothesis"": 4}"	docs/en/ch21.md:15
conversation	3	1	"{""conversation"": 2, ""conversations"": 1}"	docs/en/preface.md:3
state	3	2	"{""state"": 3}"	docs/en/preface.md:3
problem decomposition	3	1	"{""problem decomposition"": 2, ""Problem decomposition"": 1}"	docs/en/preface.md:5
task	3	3	"{""task"": 2, ""tasks"": 1}"	docs/en/preface.md:5
day	3	3	"{""day"": 1, ""days"": 2}"	docs/en/preface.md:5
loop	3	3	"{""loops"": 3}"	docs/en/preface.md:5
advantage	3	3	"{""advantage"": 3}"	docs/en/preface.md:7
many people	3	2	"{""Many people"": 2, ""many people"": 1}"	docs/en/preface.md:7
talent	3	2	"{""talent"": 2, ""Talent"": 1}"	docs/en/preface.md:7
cannot	3	3	"{""cannot"": 3}"	docs/en/preface.md:7
CS	3	1	"{""CS"": 3}"	docs/en/preface.md:9
writing	3	2	"{""writing"": 3}"	docs/en/preface.md:9
feedback	3	1	"{""feedback"": 3}"	docs/en/preface.md:9
reading	3	3	"{""reading"": 3}"	docs/en/preface.md:13
interactive editor	3	2	"{""interactive editors"": 1, ""interactive editor"": 2}"	docs/en/preface.md:13
design technique	3	3	"{""design techniques"": 3}"	docs/en/preface.md:13
address	3	1	"{""address"": 3}"	docs/en/preface.md:19
group	3	2	"{""Group"": 2, ""groups"": 1}"	docs/en/preface.md:23
effort	3	3	"{""efforts"": 1, ""effort"": 2}"	docs/en/ch01.md:8
modular design	3	2	"{""modular design"": 3}"	docs/en/ch01.md:12
physical system	3	1	"{""physical systems"": 3}"	docs/en/ch01.md:14
end	3	3	"{""end"": 3}"	docs/en/ch01.md:14
design change	3	1	"{""design changes"": 3}"	docs/en/ch01.md:16
incremental approach	3	2	"{""incremental approach"": 3}"	docs/en/ch01.md:18
software developer	3	1	"{""software developer"": 1, ""software developers"": 2}"	docs/en/ch01.md:22
opportunity	3	3	"{""opportunities"": 3}"	docs/en/ch01.md:22
development process	3	3	"{""development process"": 3}"	docs/en/ch01.md:26
best design	3	2	"{""best design"": 3}"	docs/en/ch01.md:26
new design	3	2	"{""new design"": 3}"	docs/en/ch01.md:32
look	3	3	"{""look"": 3}"	docs/en/ch01.md:34
philosophy	3	3	"{""philosophy"": 3}"	docs/en/ch02.md:5
strategic approach	3	1	"{""strategic approach"": 3}"	docs/en/ch03.md:3
clean design	3	2	"{""clean designs"": 1, ""clean design"": 2}"	docs/en/ch03.md:3
crunch	3	1	"{""crunch"": 3}"	docs/en/ch03.md:17
overall complexity	3	3	"{""overall complexity"": 3}"	docs/en/ch04.md:3
deep module	3	1	"{""deep modules"": 3}"	docs/en/ch05.md:3
path	3	3	"{""path"": 2, ""paths"": 1}"	docs/en/ch05.md:27
communication	3	3	"{""Communications"": 1, ""communication"": 2}"	docs/en/ch05.md:29
ACM	3	2	"{""ACM"": 3}"	docs/en/ch05.md:29
us	3	1	"{""uses"": 3}"	docs/en/ch06.md:11
student project	3	1	"{""student projects"": 3}"	docs/en/ch06.md:15
new position	3	1	"{""new position"": 3}"	docs/en/ch06.md:61
general-purpose text	3	1	"{""general-purpose text"": 3}"	docs/en/ch06.md:73
new code	3	2	"{""new code"": 3}"	docs/en/ch06.md:73
specialized code	3	1	"{""specialized code"": 3}"	docs/en/ch06.md:101
thousand	3	3	"{""thousands"": 3}"	docs/en/ch06.md:105
secondary storage	3	2	"{""secondary storage"": 3}"	docs/en/ch06.md:105
secondary storage device	3	2	"{""secondary storage devices"": 2, ""secondary storage device"": 1}"	docs/en/ch06.md:105
storage device	3	2	"{""storage devices"": 2, ""storage device"": 1}"	docs/en/ch06.md:105
deleted text	3	1	"{""deleted text"": 3}"	docs/en/ch06.md:109
general-purpose mechanism	3	1	"{""general-purpose mechanism"": 3}"	docs/en/ch06.md:113
nothing	3	2	"{""nothing"": 3}"	docs/en/ch06.md:113
separate class	3	2	"{""separate class"": 3}"	docs/en/ch06.md:115
text insertion	3	1	"{""text insertion"": 2, ""text insertions"": 1}"	docs/en/ch06.md:133
redo method	3	1	"{""redo methods"": 3}"	docs/en/ch06.md:133
fence	3	1	"{""fences"": 2, ""fence"": 1}"	docs/en/ch06.md:137
design decision	3	3	"{""design decision"": 3}"	docs/en/ch06.md:147
undo code	3	1	"{""undo code"": 3}"	docs/en/ch06.md:149
body	3	2	"{""bodies"": 2, ""body"": 1}"	docs/en/ch06.md:153
low layer	3	1	"{""lower layers"": 1, ""lower layer"": 1, ""lowest layer"": 1}"	docs/en/ch07.md:3
different abstraction	3	2	"{""different abstraction"": 2, ""different abstractions"": 1}"	docs/en/ch07.md:3
cache	3	2	"{""cache"": 2, ""caches"": 1}"	docs/en/ch07.md:5
packet	3	1	"{""packets"": 3}"	docs/en/ch07.md:6
size	3	3	"{""size"": 3}"	docs/en/ch07.md:6
different layer	3	2	"{""different layer"": 1, ""different layers"": 1, ""Different layers"": 1}"	docs/en/ch07.md:24
deal	3	2	"{""deal"": 1, ""deals"": 2}"	docs/en/ch08.md:3
configuration	3	2	"{""configuration"": 3}"	docs/en/ch08.md:5
configuration parameter	3	2	"{""configuration parameters"": 2, ""configuration parameter"": 1}"	docs/en/ch08.md:5
document	3	2	"{""document"": 3}"	docs/en/ch09.md:14
robert	3	2	"{""Robert"": 3}"	docs/en/ch09.md:37
length	3	1	"{""length"": 3}"	docs/en/ch09.md:37
option	3	2	"{""options"": 2, ""option"": 1}"	docs/en/ch11.md:3
first idea	3	1	"{""first idea"": 2, ""first ideas"": 1}"	docs/en/ch11.md:5
possibility	3	1	"{""possibilities"": 1, ""possibility"": 2}"	docs/en/ch11.md:5
line-oriented interface	3	1	"{""line-oriented interface"": 3}"	docs/en/ch11.md:5
text manipulation	3	1	"{""text manipulations"": 2, ""text manipulation"": 1}"	docs/en/ch11.md:17
extra time	3	2	"{""extra time"": 3}"	docs/en/ch11.md:21
first time	3	3	"{""first time"": 3}"	docs/en/ch11.md:25
many developer	3	2	"{""Many developers"": 2, ""many developers"": 1}"	docs/en/ch12.md:5
excuse	3	1	"{""excuses"": 3}"	docs/en/ch12.md:7
good code	3	3	"{""Good code"": 1, ""better code"": 2}"	docs/en/ch12.md:11
many thing	3	2	"{""many things"": 3}"	docs/en/ch13.md:5
isn't	3	3	"{""isn't"": 3}"	docs/en/ch13.md:7
stage	3	2	"{""stages"": 2, ""stage"": 1}"	docs/en/ch16.md:3
proposal	3	1	"{""proposal"": 2, ""proposals"": 1}"	docs/en/ch19.md:19
doesn't matter	3	2	"{""doesn't matter"": 3}"	docs/en/ch21.md:3
constraint	3	1	"{""constraints"": 3}"	docs/en/ch21.md:9
pp	3	1	"{""pp"": 3}"	docs/en/summary.md:12
topic	2	2	"{""topic"": 2}"	docs/en/README.md:9
fundamental problem	2	2	"{""fundamental problem"": 2}"	docs/en/README.md:9
agile	2	2	"{""agile"": 2}"	docs/en/preface.md:3
agile development	2	2	"{""agile development"": 2}"	docs/en/preface.md:3
development tool	2	2	"{""development tools"": 2}"	docs/en/preface.md:3
debugger	2	1	"{""debuggers"": 2}"	docs/en/preface.md:3
version	2	2	"{""version"": 2}"	docs/en/preface.md:3
control	2	2	"{""control"": 2}"	docs/en/preface.md:3
analysis	2	2	"{""analysis"": 1, ""Analysis"": 1}"	docs/en/preface.md:3
object-oriented programming	2	1	"{""object-oriented programming"": 2}"	docs/en/preface.md:3
david	2	2	"{""David"": 2}"	docs/en/preface.md:3
david parnas	2	2	"{""David Parnas"": 2}"	docs/en/preface.md:3
parnas	2	2	"{""Parnas"": 2}"	docs/en/preface.md:3
paper	2	1	"{""paper"": 2}"	docs/en/preface.md:3
criterion	2	2	"{""Criteria"": 2}"	docs/en/preface.md:3
single class	2	2	"{""single class"": 2}"	docs/en/preface.md:5
productivity	2	2	"{""productivity"": 2}"	docs/en/preface.md:7
great programmer	2	1	"{""great programmers"": 2}"	docs/en/preface.md:7
practice	2	1	"{""practice"": 2}"	docs/en/preface.md:7
only way	2	2	"{""only way"": 2}"	docs/en/preface.md:9
